"","default","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","monthlyincome","phone"
"444","1","unknown",12,"good",NA,719,"< 100 EUR","> 7 years",4,41,"bank","own",1,"unskilled",2,802,0
"445","1","1 - 200 EUR",48,"critical",NA,5096,"< 100 EUR","1 - 4 years",3,30,"none","own",1,"management",1,4924,1
"446","0","unknown",9,"critical",NA,1244,"unknown","> 7 years",4,41,"none","rent",2,"unskilled",1,460,0
"447","1","< 0 EUR",36,"good",NA,1842,"< 100 EUR","< 1 year",4,34,"none","own",1,"skilled",1,1816,1
"448","0","1 - 200 EUR",7,"good",NA,2576,"< 100 EUR","1 - 4 years",2,35,"none","own",1,"skilled",1,2310,0
"449","0","> 200 EUR",12,"good",NA,1424,"unknown","> 7 years",4,55,"none","own",1,"management",1,2162,1
"450","1","1 - 200 EUR",15,"poor",NA,1512,"> 1000 EUR","1 - 4 years",3,61,"store","own",2,"skilled",1,2024,0
"451","0","unknown",36,"critical",NA,11054,"unknown","1 - 4 years",2,30,"none","own",1,"management",1,11086,1
"452","0","unknown",6,"good",NA,518,"< 100 EUR","1 - 4 years",1,29,"none","own",1,"skilled",1,74,0
"453","0","unknown",12,"perfect",NA,2759,"< 100 EUR","> 7 years",4,34,"none","own",2,"skilled",1,2690,0
"454","0","unknown",24,"good",NA,2670,"< 100 EUR","> 7 years",4,35,"none","own",1,"management",1,2271,1
"455","1","< 0 EUR",24,"good",NA,4817,"< 100 EUR","4 - 7 years",3,31,"none","own",1,"skilled",1,3920,1
"456","0","unknown",24,"good",NA,2679,"< 100 EUR","< 1 year",1,29,"none","own",1,"management",1,2724,1
"457","0","< 0 EUR",11,"critical",NA,3905,"< 100 EUR","1 - 4 years",2,36,"none","rent",2,"skilled",2,3936,0
"458","1","< 0 EUR",12,"good",NA,3386,"< 100 EUR","> 7 years",4,35,"none","other",1,"skilled",1,4310,1
"459","0","< 0 EUR",6,"good",NA,343,"< 100 EUR","< 1 year",1,27,"none","own",1,"skilled",1,-487,0
"460","0","unknown",18,"good",NA,4594,"< 100 EUR","< 1 year",2,32,"none","own",1,"skilled",1,4440,1
"461","0","< 0 EUR",36,"good",NA,3620,"< 100 EUR","1 - 4 years",2,37,"none","own",1,"skilled",2,3827,0
"462","0","< 0 EUR",15,"good",NA,1721,"< 100 EUR","< 1 year",3,36,"none","own",1,"skilled",1,1308,0
"463","0","1 - 200 EUR",12,"good",NA,3017,"< 100 EUR","< 1 year",1,34,"none","rent",1,"management",1,2924,0
"464","0","1 - 200 EUR",12,"good",NA,754,"unknown","> 7 years",4,38,"none","own",2,"skilled",1,1339,0
"465","0","unknown",18,"good",NA,1950,"< 100 EUR","4 - 7 years",1,34,"store","own",2,"skilled",1,2452,1
"466","0","< 0 EUR",24,"good",NA,2924,"< 100 EUR","1 - 4 years",4,63,"bank","own",1,"skilled",2,3743,1
"467","1","< 0 EUR",24,"poor",NA,1659,"< 100 EUR","< 1 year",2,29,"none","rent",1,"unskilled",1,747,1
"468","0","unknown",48,"poor",NA,7238,"unknown","> 7 years",3,32,"bank","own",2,"skilled",2,6725,0
"469","0","unknown",33,"poor",NA,2764,"< 100 EUR","1 - 4 years",2,26,"none","own",2,"skilled",1,3147,1
"470","0","unknown",24,"poor",NA,4679,"< 100 EUR","4 - 7 years",3,35,"none","own",2,"unskilled",1,4967,1
"471","1","1 - 200 EUR",24,"good","furniture/appliances",3092,"100 - 500 EUR","< 1 year",2,22,"none","rent",1,"skilled",1,3416,1
"472","1","< 0 EUR",6,"good","education",448,"< 100 EUR","< 1 year",4,23,"none","own",1,"skilled",1,-207,0
"473","1","< 0 EUR",9,"good","car",654,"< 100 EUR","1 - 4 years",3,28,"none","own",1,"unskilled",1,1153,0
"474","0","unknown",6,"good","education",1238,"unknown","unemployed",4,36,"none","own",1,"management",2,2111,1
"475","1","1 - 200 EUR",18,"critical","furniture/appliances",1245,"< 100 EUR","1 - 4 years",2,33,"none","own",1,"skilled",1,1556,0
"476","1","< 0 EUR",18,"perfect","furniture/appliances",3114,"< 100 EUR","< 1 year",4,26,"none","rent",1,"skilled",1,2126,0
"477","0","unknown",39,"good","car",2569,"500 - 1000 EUR","1 - 4 years",4,24,"none","own",1,"skilled",1,2327,0
"478","0","> 200 EUR",24,"good","furniture/appliances",5152,"< 100 EUR","4 - 7 years",2,25,"bank","own",1,"skilled",1,4224,0
"479","0","1 - 200 EUR",12,"good","business",1037,"100 - 500 EUR","4 - 7 years",4,39,"none","own",1,"unskilled",1,60,0
"480","0","< 0 EUR",15,"critical","furniture/appliances",1478,"< 100 EUR","> 7 years",4,44,"none","own",2,"skilled",2,2244,1
"481","0","1 - 200 EUR",12,"critical","furniture/appliances",3573,"< 100 EUR","1 - 4 years",1,23,"none","own",1,"unskilled",1,4310,0
"482","0","1 - 200 EUR",24,"good","car",1201,"< 100 EUR","< 1 year",1,26,"none","own",1,"skilled",1,807,0
"483","0","< 0 EUR",30,"good","furniture/appliances",3622,"> 1000 EUR","> 7 years",4,57,"none","rent",2,"skilled",1,3718,1
"484","0","unknown",15,"poor","furniture/appliances",960,"> 1000 EUR","4 - 7 years",2,30,"none","own",2,"skilled",1,1451,0
"485","0","unknown",12,"critical","car",1163,"500 - 1000 EUR","1 - 4 years",4,44,"none","own",1,"skilled",1,273,1
"486","1","1 - 200 EUR",6,"poor","car",1209,"< 100 EUR","unemployed",4,47,"none","own",1,"management",1,853,1
"487","0","unknown",12,"good","furniture/appliances",3077,"< 100 EUR","1 - 4 years",4,52,"none","own",1,"skilled",1,2389,1
"488","0","unknown",24,"good","car",3757,"< 100 EUR","> 7 years",4,62,"none","other",1,"skilled",1,4174,1
"489","0","unknown",10,"good","car",1418,"100 - 500 EUR","1 - 4 years",2,35,"none","rent",1,"unskilled",1,692,0
"490","0","unknown",6,"good","car",3518,"< 100 EUR","1 - 4 years",3,26,"none","rent",1,"skilled",1,4291,0
"491","0","unknown",12,"critical","furniture/appliances",1934,"< 100 EUR","> 7 years",2,26,"none","own",2,"skilled",1,2127,0
"492","1","1 - 200 EUR",27,"perfect","business",8318,"< 100 EUR","> 7 years",4,42,"none","other",2,"management",1,8395,1
"493","0","unknown",6,"critical","furniture/appliances",1237,"100 - 500 EUR","1 - 4 years",1,27,"none","own",2,"skilled",1,728,0
"494","0","1 - 200 EUR",6,"good","furniture/appliances",368,"unknown","> 7 years",4,38,"none","own",1,"skilled",1,201,0
"495","0","< 0 EUR",12,"critical","car",2122,"< 100 EUR","1 - 4 years",2,39,"none","rent",2,"unskilled",2,1613,0
"496","1","< 0 EUR",24,"good","furniture/appliances",2996,"unknown","1 - 4 years",4,20,"none","own",1,"skilled",1,3718,0
"497","1","1 - 200 EUR",36,"good","furniture/appliances",9034,"100 - 500 EUR","< 1 year",1,29,"none","rent",1,"management",1,9397,1
"498","0","unknown",24,"critical","furniture/appliances",1585,"< 100 EUR","4 - 7 years",3,40,"none","own",2,"skilled",1,1285,0
"499","0","1 - 200 EUR",18,"good","furniture/appliances",1301,"< 100 EUR","> 7 years",2,32,"none","own",1,"unskilled",1,1573,0
"500","0","> 200 EUR",6,"critical","car",1323,"100 - 500 EUR","> 7 years",4,28,"none","own",2,"skilled",2,1974,1
"501","1","< 0 EUR",24,"good","car",3123,"< 100 EUR","< 1 year",1,27,"none","own",1,"skilled",1,3742,0
"502","0","< 0 EUR",36,"good","car",5493,"< 100 EUR","> 7 years",4,42,"none","other",1,"skilled",2,4878,0
"503","0","> 200 EUR",9,"good","furniture/appliances",1126,"100 - 500 EUR","> 7 years",4,49,"none","own",1,"skilled",1,1004,0
"504","1","1 - 200 EUR",24,"critical","furniture/appliances",1216,"100 - 500 EUR","< 1 year",4,38,"bank","own",2,"skilled",2,444,0
"505","1","< 0 EUR",24,"good","car",1207,"< 100 EUR","< 1 year",4,24,"none","rent",1,"skilled",1,1189,0
"506","1","unknown",10,"good","car",1309,"unknown","1 - 4 years",4,27,"none","own",1,"unskilled",1,568,0
"507","0","> 200 EUR",15,"critical","car",2360,"500 - 1000 EUR","1 - 4 years",2,36,"none","own",1,"skilled",1,2200,1
"508","1","1 - 200 EUR",15,"very good","car",6850,"100 - 500 EUR","unemployed",2,34,"none","own",1,"management",2,6985,1
"509","0","unknown",24,"good","furniture/appliances",1413,"< 100 EUR","1 - 4 years",2,28,"none","own",1,"skilled",1,2098,0
"510","0","unknown",39,"good","car",8588,"100 - 500 EUR","> 7 years",2,45,"none","own",1,"management",1,9240,1
"511","1","< 0 EUR",12,"good","car",759,"< 100 EUR","4 - 7 years",2,26,"none","own",1,"skilled",1,-152,0
"512","0","unknown",36,"good","car",4686,"< 100 EUR","1 - 4 years",2,32,"none","other",1,"management",1,5102,1
"513","0","> 200 EUR",15,"good","business",2687,"< 100 EUR","4 - 7 years",4,26,"none","rent",1,"skilled",1,2261,1
"514","0","1 - 200 EUR",12,"poor","furniture/appliances",585,"< 100 EUR","1 - 4 years",4,20,"none","rent",2,"skilled",1,-19,0
"515","0","unknown",24,"good","car",2255,"unknown","< 1 year",1,54,"none","own",1,"skilled",1,2603,0
"516","0","< 0 EUR",6,"critical","car",609,"< 100 EUR","4 - 7 years",3,37,"none","own",2,"skilled",1,972,0
"517","0","< 0 EUR",6,"critical","car",1361,"< 100 EUR","< 1 year",4,40,"none","own",1,"unskilled",2,1177,0
"518","1","unknown",36,"critical","furniture/appliances",7127,"< 100 EUR","< 1 year",4,23,"none","rent",2,"skilled",1,6681,1
"519","0","< 0 EUR",6,"good","car",1203,"100 - 500 EUR","> 7 years",2,43,"none","own",1,"skilled",1,385,1
"520","0","unknown",6,"critical","furniture/appliances",700,"unknown","> 7 years",4,36,"none","other",2,"skilled",1,1294,0
"521","0","unknown",24,"critical","renovations",5507,"< 100 EUR","> 7 years",4,44,"none","other",2,"skilled",1,6232,0
"522","1","< 0 EUR",18,"good","furniture/appliances",3190,"< 100 EUR","1 - 4 years",2,24,"none","own",1,"skilled",1,2930,0
"523","1","< 0 EUR",48,"perfect","furniture/appliances",7119,"< 100 EUR","1 - 4 years",4,53,"none","other",2,"skilled",2,7732,0
"524","0","unknown",24,"good","car",3488,"100 - 500 EUR","4 - 7 years",4,23,"none","own",1,"skilled",1,3606,0
"525","0","1 - 200 EUR",18,"good","furniture/appliances",1113,"< 100 EUR","1 - 4 years",4,26,"none","own",1,"unskilled",2,352,0
"526","0","1 - 200 EUR",26,"good","car",7966,"< 100 EUR","< 1 year",3,30,"none","own",2,"skilled",1,8095,0
"527","0","unknown",15,"critical","education",1532,"100 - 500 EUR","1 - 4 years",3,31,"none","own",1,"skilled",1,634,0
"528","0","unknown",4,"critical","furniture/appliances",1503,"< 100 EUR","4 - 7 years",1,42,"none","own",2,"unskilled",2,1738,0
"529","1","< 0 EUR",36,"good","furniture/appliances",2302,"< 100 EUR","1 - 4 years",4,31,"none","rent",1,"skilled",1,2599,0
"530","0","< 0 EUR",6,"good","car",662,"< 100 EUR","< 1 year",4,41,"none","own",1,"unskilled",2,866,1
"531","0","1 - 200 EUR",36,"good","education",2273,"< 100 EUR","4 - 7 years",1,32,"none","own",2,"skilled",2,2748,0
"532","1","1 - 200 EUR",15,"good","car",2631,"100 - 500 EUR","1 - 4 years",4,28,"none","rent",2,"skilled",1,2516,1
"533","0","unknown",12,"poor","car",1503,"< 100 EUR","1 - 4 years",4,41,"none","rent",1,"skilled",1,2351,0
"534","0","unknown",24,"good","furniture/appliances",1311,"100 - 500 EUR","4 - 7 years",3,26,"none","own",1,"skilled",1,2090,1
"535","0","unknown",24,"good","furniture/appliances",3105,"unknown","< 1 year",2,25,"none","own",2,"skilled",1,2835,0
"536","1","> 200 EUR",21,"critical","education",2319,"< 100 EUR","< 1 year",1,33,"none","rent",1,"skilled",1,3085,0
"537","0","< 0 EUR",6,"good","car",1374,"unknown","unemployed",3,75,"none","own",1,"management",1,2264,1
"538","0","1 - 200 EUR",18,"critical","furniture/appliances",-1000,"< 100 EUR","> 7 years",4,37,"none","own",1,"skilled",1,3869,1
"539","1","< 0 EUR",48,"good","car",7763,"< 100 EUR","> 7 years",4,42,"bank","other",1,"management",1,7459,0
"540","0","> 200 EUR",18,"good","furniture/appliances",3049,"< 100 EUR","< 1 year",1,45,"store","own",1,"unskilled",1,2310,0
"541","1","1 - 200 EUR",12,"good","furniture/appliances",1534,"< 100 EUR","< 1 year",1,23,"none","rent",1,"skilled",1,1614,0
"542","0","unknown",24,"poor","car",2032,"< 100 EUR","> 7 years",4,60,"none","other",2,"skilled",1,1694,1
"543","1","< 0 EUR",30,"good","furniture/appliances",6350,"unknown","> 7 years",4,31,"none","own",1,"skilled",1,6708,0
"544","1","> 200 EUR",18,"good","furniture/appliances",2864,"< 100 EUR","1 - 4 years",1,34,"none","own",1,"unskilled",2,2181,0
"545","0","unknown",12,"critical","car",1255,"< 100 EUR","> 7 years",4,61,"none","own",2,"unskilled",1,472,0
"546","1","< 0 EUR",24,"poor","car",1333,"< 100 EUR","unemployed",2,43,"none","other",2,"skilled",2,901,0
"547","0","unknown",24,"critical","car",2022,"< 100 EUR","1 - 4 years",4,37,"none","own",1,"skilled",1,1911,1
"548","0","unknown",24,"good","furniture/appliances",1552,"< 100 EUR","4 - 7 years",1,32,"bank","own",1,"skilled",2,978,0
"549","1","< 0 EUR",12,"very good","furniture/appliances",626,"< 100 EUR","1 - 4 years",4,24,"bank","own",1,"unskilled",1,1474,0
"550","0","unknown",48,"critical","car",8858,"unknown","4 - 7 years",1,35,"none","other",2,"skilled",1,8709,1
"551","0","unknown",12,"critical","renovations",996,"unknown","4 - 7 years",4,23,"none","own",2,"skilled",1,1727,0
"552","0","unknown",6,"very good","furniture/appliances",1750,"500 - 1000 EUR","> 7 years",4,45,"bank","own",1,"unskilled",2,898,0
"553","1","< 0 EUR",48,"good","furniture/appliances",6999,"< 100 EUR","4 - 7 years",1,34,"none","own",2,"skilled",1,7492,1
"554","0","1 - 200 EUR",12,"critical","car",1995,"100 - 500 EUR","< 1 year",1,27,"none","own",1,"skilled",1,2930,0
"555","0","1 - 200 EUR",9,"good","education",1199,"< 100 EUR","4 - 7 years",4,67,"none","own",2,"management",1,2076,1
"556","1","1 - 200 EUR",12,"good","furniture/appliances",1331,"< 100 EUR","< 1 year",1,22,"store","own",1,"skilled",1,2079,0
"557","1","1 - 200 EUR",18,"perfect","car",2278,"100 - 500 EUR","< 1 year",3,28,"none","own",2,"skilled",1,1607,0
"558","1","unknown",21,"perfect","car",5003,"unknown","1 - 4 years",4,29,"bank","own",2,"skilled",1,4694,1
"559","1","< 0 EUR",24,"very good","furniture/appliances",3552,"< 100 EUR","4 - 7 years",4,27,"bank","own",1,"skilled",1,3110,0
"560","1","1 - 200 EUR",18,"critical","furniture/appliances",1928,"< 100 EUR","< 1 year",2,31,"none","own",2,"unskilled",1,1032,0
"561","0","< 0 EUR",24,"good","car",2964,"unknown","> 7 years",4,49,"bank","other",1,"skilled",2,2874,1
"562","1","< 0 EUR",24,"very good","furniture/appliances",1546,"< 100 EUR","4 - 7 years",4,24,"bank","rent",1,"unskilled",1,890,0
"563","0","> 200 EUR",6,"poor","furniture/appliances",683,"< 100 EUR","< 1 year",1,29,"bank","own",1,"skilled",1,570,0
"564","1","1 - 200 EUR",36,"good","car",12389,"unknown","1 - 4 years",4,37,"none","other",1,"skilled",1,12160,1
"565","0","1 - 200 EUR",24,"poor","business",4712,"unknown","1 - 4 years",2,37,"bank","own",2,"management",1,3911,1
"566","0","1 - 200 EUR",24,"poor","furniture/appliances",1553,"100 - 500 EUR","4 - 7 years",2,23,"none","rent",2,"skilled",1,2432,1
"567","1","< 0 EUR",12,"good","car",1372,"< 100 EUR","4 - 7 years",3,36,"none","own",1,"skilled",1,1718,0
"568","0","unknown",24,"critical","furniture/appliances",2578,"> 1000 EUR","> 7 years",2,34,"none","own",1,"skilled",1,3516,0
"569","0","1 - 200 EUR",48,"good","furniture/appliances",3979,"unknown","4 - 7 years",1,41,"none","own",2,"skilled",2,3543,1
"570","1","< 0 EUR",48,"good","furniture/appliances",6758,"< 100 EUR","1 - 4 years",2,31,"none","own",1,"skilled",1,6825,1
"571","1","< 0 EUR",24,"good","furniture/appliances",3234,"< 100 EUR","< 1 year",4,23,"none","rent",1,"unskilled",1,2675,1
"572","0","unknown",30,"critical","furniture/appliances",5954,"< 100 EUR","4 - 7 years",2,38,"none","own",1,"skilled",1,6551,0
"573","0","unknown",24,"good","car",5433,"unknown","unemployed",4,26,"none","rent",1,"management",1,5573,1
"574","0","< 0 EUR",15,"good","business",806,"< 100 EUR","1 - 4 years",4,22,"none","own",1,"unskilled",1,524,0
"575","0","1 - 200 EUR",9,"good","furniture/appliances",1082,"< 100 EUR","> 7 years",4,27,"none","own",2,"unskilled",1,985,0
"576","0","unknown",15,"critical","furniture/appliances",2788,"< 100 EUR","4 - 7 years",3,24,"bank","own",2,"skilled",1,2369,0
"577","0","1 - 200 EUR",12,"good","furniture/appliances",2930,"< 100 EUR","4 - 7 years",1,27,"none","own",1,"skilled",1,2692,0
"578","0","unknown",24,"critical","education",1927,"unknown","1 - 4 years",2,33,"none","own",2,"skilled",1,2401,1
"579","1","1 - 200 EUR",36,"critical","car",2820,"< 100 EUR","< 1 year",4,27,"none","own",2,"skilled",1,2128,0
"580","0","unknown",24,"good","education",937,"< 100 EUR","< 1 year",3,27,"none","own",2,"unskilled",1,1422,0
"581","1","1 - 200 EUR",18,"critical","car",1056,"< 100 EUR","> 7 years",3,30,"bank","own",2,"skilled",1,1850,0
"582","0","1 - 200 EUR",12,"critical","car",3124,"< 100 EUR","< 1 year",3,49,"bank","own",2,"unskilled",2,3986,0
"583","0","unknown",9,"good","furniture/appliances",1388,"< 100 EUR","1 - 4 years",2,26,"none","rent",1,"skilled",1,501,0
"584","1","1 - 200 EUR",36,"good","renovations",2384,"< 100 EUR","< 1 year",1,33,"none","rent",1,"unskilled",1,3218,0
"585","0","unknown",12,"good","car",2133,"unknown","> 7 years",4,52,"none","other",1,"management",1,1819,1
"586","1","< 0 EUR",18,"good","furniture/appliances",2039,"< 100 EUR","1 - 4 years",4,20,"bank","rent",1,"skilled",1,1868,0
"587","0","< 0 EUR",9,"critical","car",2799,"< 100 EUR","1 - 4 years",2,36,"none","rent",2,"skilled",2,2945,0
"588","0","< 0 EUR",12,"good","furniture/appliances",1289,"< 100 EUR","1 - 4 years",1,21,"none","own",1,"unskilled",1,2247,0
"589","1","< 0 EUR",18,"good","furniture/appliances",1217,"< 100 EUR","1 - 4 years",3,47,"none","own",1,"unskilled",1,1384,1
"590","1","< 0 EUR",12,"critical","furniture/appliances",2246,"< 100 EUR","> 7 years",3,60,"none","own",2,"skilled",1,1263,0
"591","0","< 0 EUR",12,"critical","furniture/appliances",385,"< 100 EUR","4 - 7 years",3,58,"none","own",4,"unskilled",1,1099,1
"592","0","1 - 200 EUR",24,"poor","car",1965,"unknown","1 - 4 years",4,42,"none","rent",2,"skilled",1,1119,1
"593","0","unknown",21,"good","business",1572,"> 1000 EUR","> 7 years",4,36,"bank","own",1,"unskilled",1,1216,0
"594","1","1 - 200 EUR",24,"good","car",2718,"< 100 EUR","1 - 4 years",4,20,"none","rent",1,"unskilled",1,2479,1
"595","1","< 0 EUR",24,"very good","car0",1358,"unknown","> 7 years",3,40,"store","own",1,"management",1,583,1
"596","1","1 - 200 EUR",6,"very good","car",931,"100 - 500 EUR","< 1 year",1,32,"store","own",1,"unskilled",1,1109,0
"597","1","< 0 EUR",24,"good","car",1442,"< 100 EUR","4 - 7 years",4,23,"none","rent",2,"skilled",1,2407,0
"598","1","1 - 200 EUR",24,"perfect","business",4241,"< 100 EUR","1 - 4 years",4,36,"none","own",3,"unskilled",1,4834,1
"599","1","unknown",18,"critical","car",2775,"< 100 EUR","4 - 7 years",2,31,"bank","own",2,"skilled",1,2410,0
"600","0","unknown",24,"poor","business",3863,"< 100 EUR","1 - 4 years",2,32,"none","other",1,"skilled",1,4560,0
"601","0","1 - 200 EUR",7,"good","furniture/appliances",2329,"< 100 EUR","< 1 year",1,45,"none","own",1,"skilled",1,1875,0
"602","1","1 - 200 EUR",9,"good","furniture/appliances",918,"< 100 EUR","1 - 4 years",1,30,"none","own",1,"skilled",1,-30,0
"603","1","1 - 200 EUR",24,"very good","education",1837,"< 100 EUR","4 - 7 years",4,34,"bank","other",1,"unskilled",1,1220,0
"604","1","unknown",36,"good","furniture/appliances",3349,"< 100 EUR","1 - 4 years",2,28,"none","own",1,"management",1,3792,1
"605","0","> 200 EUR",10,"good","furniture/appliances",1275,"< 100 EUR","< 1 year",2,23,"none","own",1,"skilled",1,310,0
"606","0","< 0 EUR",24,"very good","furniture/appliances",2828,"500 - 1000 EUR","1 - 4 years",4,22,"store","own",1,"skilled",1,3806,1
"607","0","unknown",24,"critical","business",4526,"< 100 EUR","1 - 4 years",2,74,"none","own",1,"management",1,4600,1
"608","1","1 - 200 EUR",36,"good","furniture/appliances",2671,"100 - 500 EUR","1 - 4 years",4,50,"none","other",1,"skilled",1,1912,0
"609","0","unknown",18,"good","furniture/appliances",2051,"< 100 EUR","< 1 year",1,33,"none","own",1,"skilled",1,2287,0
"610","0","unknown",15,"good","car",1300,"unknown","> 7 years",4,45,"bank","other",1,"skilled",2,609,0
"611","1","< 0 EUR",12,"good","furniture/appliances",741,"100 - 500 EUR","unemployed",3,22,"none","own",1,"skilled",1,239,0
"612","1","> 200 EUR",10,"good","car",1240,"100 - 500 EUR","> 7 years",4,48,"none","other",1,"unskilled",2,1947,0
"613","0","< 0 EUR",21,"good","furniture/appliances",3357,"> 1000 EUR","< 1 year",2,29,"bank","own",1,"skilled",1,2493,0
"614","0","< 0 EUR",24,"very good","car",3632,"< 100 EUR","1 - 4 years",4,22,"bank","rent",1,"skilled",1,2833,0
"615","1","unknown",18,"poor","furniture/appliances",1808,"< 100 EUR","4 - 7 years",1,22,"none","own",1,"skilled",1,2305,0
"616","0","1 - 200 EUR",48,"perfect","business",12204,"unknown","1 - 4 years",2,48,"bank","own",1,"management",1,11911,1
"617","0","1 - 200 EUR",60,"poor","furniture/appliances",9157,"unknown","1 - 4 years",2,27,"none","other",1,"management",1,9170,0
"618","0","< 0 EUR",6,"critical","car",3676,"< 100 EUR","1 - 4 years",3,37,"none","rent",3,"skilled",2,3909,0
"619","1","1 - 200 EUR",30,"good","furniture/appliances",3441,"100 - 500 EUR","1 - 4 years",4,21,"none","rent",1,"skilled",1,3573,0
"620","0","unknown",12,"good","car",640,"< 100 EUR","1 - 4 years",2,49,"none","own",1,"unskilled",1,1293,0
"621","0","1 - 200 EUR",21,"critical","business",3652,"< 100 EUR","4 - 7 years",3,27,"none","own",2,"skilled",1,4451,0
"622","1","unknown",18,"critical","car",1530,"< 100 EUR","1 - 4 years",2,32,"bank","own",2,"skilled",1,584,0
"623","1","unknown",48,"good","business",3914,"unknown","1 - 4 years",2,38,"bank","own",1,"skilled",1,4455,0
"624","0","< 0 EUR",12,"good","furniture/appliances",1858,"< 100 EUR","< 1 year",1,22,"none","rent",1,"skilled",1,2796,0
"625","1","< 0 EUR",18,"good","furniture/appliances",2600,"< 100 EUR","1 - 4 years",4,65,"none","other",2,"skilled",1,3040,0
"626","0","unknown",15,"good","furniture/appliances",1979,"unknown","> 7 years",2,35,"none","own",1,"skilled",1,1317,0
"627","0","> 200 EUR",6,"good","furniture/appliances",2116,"< 100 EUR","1 - 4 years",2,41,"none","own",1,"skilled",1,2230,1
"628","1","1 - 200 EUR",9,"very good","car",1437,"100 - 500 EUR","4 - 7 years",3,29,"none","own",1,"skilled",1,2331,0
"629","0","unknown",42,"critical","furniture/appliances",4042,"500 - 1000 EUR","1 - 4 years",4,36,"none","own",2,"skilled",1,4944,1
"630","0","unknown",9,"good","education",3832,"unknown","> 7 years",4,64,"none","own",1,"unskilled",1,4793,0
"631","0","< 0 EUR",24,"good","furniture/appliances",3660,"< 100 EUR","1 - 4 years",4,28,"none","own",1,"skilled",1,3474,0
"632","1","< 0 EUR",18,"very good","furniture/appliances",1553,"< 100 EUR","1 - 4 years",3,44,"bank","own",1,"skilled",1,2499,0
"633","0","1 - 200 EUR",15,"good","furniture/appliances",1444,"unknown","< 1 year",1,23,"none","own",1,"skilled",1,2227,0
"634","1","unknown",9,"good","furniture/appliances",1980,"< 100 EUR","< 1 year",2,19,"none","rent",2,"skilled",1,2327,0
"635","1","1 - 200 EUR",24,"good","car",1355,"< 100 EUR","< 1 year",4,25,"none","own",1,"unskilled",1,1950,1
"636","0","unknown",12,"good","education",1393,"< 100 EUR","> 7 years",4,47,"bank","own",3,"skilled",2,458,1
"637","0","unknown",24,"good","furniture/appliances",1376,"500 - 1000 EUR","4 - 7 years",1,28,"none","own",1,"skilled",1,686,0
"638","0","unknown",60,"poor","furniture/appliances",15653,"< 100 EUR","4 - 7 years",4,21,"none","own",2,"skilled",1,16077,1
"639","0","unknown",12,"good","furniture/appliances",1493,"< 100 EUR","< 1 year",3,34,"none","own",1,"skilled",2,1725,0
"640","1","< 0 EUR",42,"poor","furniture/appliances",4370,"< 100 EUR","4 - 7 years",2,26,"bank","own",2,"skilled",2,5191,1
"641","1","< 0 EUR",18,"good","education",750,"< 100 EUR","unemployed",1,27,"none","own",1,"unemployed",1,633,0
"642","0","1 - 200 EUR",15,"good","renovations",1308,"< 100 EUR","> 7 years",4,38,"none","own",2,"unskilled",1,1018,0
"643","1","unknown",15,"good","education",4623,"100 - 500 EUR","1 - 4 years",2,40,"none","own",1,"management",1,4562,1
"644","0","unknown",24,"critical","furniture/appliances",1851,"< 100 EUR","4 - 7 years",2,33,"none","own",2,"skilled",1,2794,1
"645","0","< 0 EUR",18,"critical","furniture/appliances",1880,"< 100 EUR","4 - 7 years",1,32,"none","own",2,"management",1,1726,1
"646","1","unknown",36,"poor","business",7980,"unknown","< 1 year",4,27,"none","rent",2,"skilled",1,7527,1
"647","0","< 0 EUR",30,"perfect","furniture/appliances",4583,"< 100 EUR","1 - 4 years",2,32,"none","own",2,"skilled",1,4232,0
"648","1","unknown",12,"good","car",1386,"500 - 1000 EUR","1 - 4 years",2,26,"none","own",1,"skilled",1,1171,0
"649","1","> 200 EUR",24,"good","car",947,"< 100 EUR","4 - 7 years",3,38,"bank","other",1,"skilled",2,1043,0
"650","1","< 0 EUR",12,"good","education",684,"< 100 EUR","1 - 4 years",4,40,"none","rent",1,"unskilled",2,392,0
"651","0","< 0 EUR",48,"good","education",7476,"< 100 EUR","4 - 7 years",1,50,"none","other",1,"management",1,7132,1
"652","1","1 - 200 EUR",12,"good","furniture/appliances",1922,"< 100 EUR","1 - 4 years",2,37,"none","own",1,"unskilled",1,1498,0
"653","1","< 0 EUR",24,"good","car",2303,"< 100 EUR","> 7 years",1,45,"none","own",1,"skilled",1,1927,0
"654","1","1 - 200 EUR",36,"poor","car",8086,"100 - 500 EUR","> 7 years",4,42,"none","own",4,"management",1,7924,1
"655","0","unknown",24,"critical","car",2346,"< 100 EUR","4 - 7 years",3,35,"none","own",2,"skilled",1,3086,1
"656","0","< 0 EUR",14,"good","car",3973,"< 100 EUR","unemployed",4,22,"none","other",1,"skilled",1,3049,0
"657","1","1 - 200 EUR",12,"good","car",888,"< 100 EUR","> 7 years",4,41,"bank","own",1,"unskilled",2,229,0
"658","0","unknown",48,"good","furniture/appliances",10222,"unknown","4 - 7 years",3,37,"store","own",1,"skilled",1,10817,1
"659","0","1 - 200 EUR",30,"perfect","business",4221,"< 100 EUR","1 - 4 years",1,28,"none","own",2,"skilled",1,4259,0
"660","0","1 - 200 EUR",18,"critical","furniture/appliances",6361,"< 100 EUR","> 7 years",1,41,"none","own",1,"skilled",1,6657,1
